,MAE,RMSE,MAPE,SMAPE,R2,MASE,RMSLE
naive,0.0028472309977317966,0.0057904976130516836,inf,168.38387514198067,-0.0012050005499333327,,0.005843899371650337
seasonal_naive,0.003554795705075491,0.006337585569751193,,,-0.1993305836535526,,0.006385572854846575
ses,0.002984540656623017,0.005883463738124114,inf,142.95900493876476,-0.03361165638269581,,0.005939550774029832
arima_auto,0.00280710972446613,0.005792680845084647,inf,175.22061144247536,-0.001960125601518703,,0.005847386518652349
sarima_auto,0.00280710972446613,0.005792680845084647,inf,175.22061144247536,-0.001960125601518703,,0.005847386518652349
arima_111,0.0030703298053576518,0.005922299694971326,inf,142.19150223708343,-0.04730215678991789,,0.0059785246309167735
garch,0.0028086096093679035,0.005793774998317615,inf,172.67186094195213,-0.0023386727638521343,,0.005848538792204688
tbats,0.0028166178620504293,0.005799781333342127,inf,162.38567833733947,-0.004417974257673318,,0.00585482392737695
prophet,297.8926745145455,297.92368170243907,inf,199.99819653751806,-2650338153.585282,,5.700135929768247
var,263.50680258410785,263.50744556572846,inf,199.99796159928172,-2073370991.0499935,,5.578000498967969
